属性,群,下限,上限,m の群,T(秒),h(秒),群の束数,属性が欠測で群に入らない束の割合,n,含む日数,r_end 平均(bp),r_end 日クラスタ SE,r_end naive SE,日クラスタ/naive,r_end 日等重み平均,次の束が 120 秒以内の割合,次の束が 120 秒以内の母数,次の束の間隔が無い束,r_end > 0 の割合,r_end > 0 の母数
bin_pct,Q2(中位 3 分位),16.666700,55.882400,Q2(中位 3 分位),60,900,2288,0.000000,2288,409,-6.294695,0.790581,0.786263,1.005491,-7.129255,0.167710,2236,52,0.368444,2288
bin_pct,Q2(中位 3 分位),16.666700,55.882400,Q3(上位 3 分位),60,60,2296,0.000000,2296,382,-10.522637,0.426451,0.322018,1.324308,-9.234022,0.189022,2259,37,0.211237,2296
bin_pct,Q2(中位 3 分位),16.666700,55.882400,Q3(上位 3 分位),60,300,2296,0.000000,2296,382,-10.842720,0.927115,0.852359,1.087704,-9.970706,0.189022,2259,37,0.334059,2296
bin_pct,Q2(中位 3 分位),16.666700,55.882400,Q3(上位 3 分位),60,900,2296,0.000000,2296,382,-9.500446,1.370706,1.257493,1.090031,-10.638567,0.189022,2259,37,0.377178,2296
bin_pct,Q3(上位 3 分位),55.882400,,Q1(下位 3 分位),60,60,2399,0.000000,2399,416,-2.554429,0.156275,0.146856,1.064138,-2.221239,0.124676,2318,81,0.359316,2399
bin_pct,Q3(上位 3 分位),55.882400,,Q1(下位 3 分位),60,300,2399,0.000000,2399,416,-3.004760,0.345752,0.335101,1.031784,-2.381581,0.124676,2318,81,0.405586,2399
bin_pct,Q3(上位 3 分位),55.882400,,Q1(下位 3 分位),60,900,2399,0.000000,2399,416,-3.105459,0.658219,0.580660,1.133570,-2.564524,0.124676,2318,81,0.423093,2399
bin_pct,Q3(上位 3 分位),55.882400,,Q2(中位 3 分位),60,60,2286,0.000000,2286,383,-4.280415,0.227323,0.211354,1.075555,-3.688815,0.147916,2231,55,0.322397,2286
bin_pct,Q3(上位 3 分位),55.882400,,Q2(中位 3 分位),60,300,2286,0.000000,2286,383,-3.967088,0.455404,0.452633,1.006124,-3.693265,0.147916,2231,55,0.388889,2286
bin_pct,Q3(上位 3 分位),55.882400,,Q2(中位 3 分位),60,900,2286,0.000000,2286,383,-4.908722,0.729587,0.774648,0.941830,-4.383293,0.147916,2231,55,0.415573,2286
bin_pct,Q3(上位 3 分位),55.882400,,Q3(上位 3 分位),60,60,2377,0.000000,2377,335,-7.762166,0.417050,0.284760,1.464570,-6.483888,0.157692,2340,37,0.271771,2377
bin_pct,Q3(上位 3 分位),55.882400,,Q3(上位 3 分位),60,300,2377,0.000000,2377,335,-7.635385,0.641548,0.659119,0.973341,-7.478925,0.157692,2340,37,0.379891,2377
bin_pct,Q3(上位 3 分位),55.882400,,Q3(上位 3 分位),60,900,2377,0.000000,2377,335,-7.405269,0.958091,1.089650,0.879264,-7.427329,0.157692,2340,37,0.403870,2377
implied_leverage,Q1(下位 3 分位),,75.097333,Q1(下位 3 分位),60,60,1050,0.379611,1050,229,-7.835495,0.391597,0.335727,1.166415,-7.803190,0.213035,1028,22,0.207619,1050
implied_leverage,Q1(下位 3 分位),,75.097333,Q1(下位 3 分位),60,300,1050,0.379611,1050,229,-8.627117,0.808962,0.755424,1.070871,-10.051113,0.213035,1028,22,0.305714,1050
implied_leverage,Q1(下位 3 分位),,75.097333,Q1(下位 3 分位),60,900,1050,0.379611,1050,229,-9.835460,1.344484,1.193085,1.126896,-12.943000,0.213035,1028,22,0.352381,1050
implied_leverage,Q1(下位 3 分位),,75.097333,Q2(中位 3 分位),60,60,1489,0.379611,1489,240,-9.248363,0.324805,0.325812,0.996911,-8.775846,0.223129,1470,19,0.195433,1489
implied_leverage,Q1(下位 3 分位),,75.097333,Q2(中位 3 分位),60,300,1489,0.379611,1489,240,-8.124765,0.816066,0.807105,1.011102,-10.069053,0.223129,1470,19,0.347213,1489
implied_leverage,Q1(下位 3 分位),,75.097333,Q2(中位 3 分位),60,900,1489,0.379611,1489,240,-8.980999,1.533154,1.254774,1.221856,-13.382387,0.223129,1470,19,0.372062,1489
implied_leverage,Q1(下位 3 分位),,75.097333,Q3(上位 3 分位),60,60,1845,0.379611,1845,247,-14.491851,0.543793,0.380695,1.428420,-13.236329,0.231360,1824,21,0.145799,1845
implied_leverage,Q1(下位 3 分位),,75.097333,Q3(上位 3 分位),60,300,1845,0.379611,1845,247,-14.035355,1.003493,1.012879,0.990733,-16.541501,0.231360,1824,21,0.307317,1845
implied_leverage,Q1(下位 3 分位),,75.097333,Q3(上位 3 分位),60,900,1845,0.379611,1845,247,-13.222520,1.879126,1.516142,1.239413,-22.094839,0.231360,1824,21,0.345799,1845
implied_leverage,Q2(中位 3 分位),75.097333,126.459633,Q1(下位 3 分位),60,60,1754,0.379611,1754,333,-4.119722,0.200168,0.180496,1.108984,-4.335407,0.172796,1713,41,0.290194,1754
implied_leverage,Q2(中位 3 分位),75.097333,126.459633,Q1(下位 3 分位),60,300,1754,0.379611,1754,333,-4.786489,0.423373,0.397218,1.065844,-5.716526,0.172796,1713,41,0.341505,1754
implied_leverage,Q2(中位 3 分位),75.097333,126.459633,Q1(下位 3 分位),60,900,1754,0.379611,1754,333,-4.966310,0.734058,0.641025,1.145132,-6.188017,0.172796,1713,41,0.369441,1754
implied_leverage,Q2(中位 3 分位),75.097333,126.459633,Q2(中位 3 分位),60,60,1633,0.379611,1633,329,-6.191100,0.260719,0.240123,1.085770,-6.281066,0.169799,1596,37,0.222290,1633
implied_leverage,Q2(中位 3 分位),75.097333,126.459633,Q2(中位 3 分位),60,300,1633,0.379611,1633,329,-6.407965,0.524019,0.487573,1.074750,-6.989378,0.169799,1596,37,0.322719,1633
implied_leverage,Q2(中位 3 分位),75.097333,126.459633,Q2(中位 3 分位),60,900,1633,0.379611,1633,329,-6.841660,0.895851,0.792748,1.130058,-7.532862,0.169799,1596,37,0.372933,1633
implied_leverage,Q2(中位 3 分位),75.097333,126.459633,Q3(上位 3 分位),60,60,996,0.379611,996,306,-9.747298,0.418523,0.386512,1.082821,-9.538249,0.170782,972,24,0.171687,996
