draw,seconds,max_mean_net_bps_full,max_sharpe_full,min_n_full,max_mean_net_bps_train,max_sharpe_train,min_n_train,max_mean_net_bps_val,max_sharpe_val,min_n_val
1616,1.108170514999074,-3.378791311789284,-1.8103919619346858,8395,-3.7423614205035642,-1.6393067006906967,5807,-2.2360748860434354,-2.7677410917921645,2588
1617,1.111761790001765,-3.5702426177529736,-2.1289312737216135,8449,-3.7542503022063807,-1.9589903554509658,5999,-2.8359155808144436,-2.703782870971323,2450
1618,1.1210524589987472,-3.482328645217609,-2.5741747765632894,8361,-3.4564883750531283,-2.5122539361178857,5999,-3.0945481030126327,-2.9277821301075457,2362
1619,1.1744605600106297,-4.036609477659317,-3.470825154790393,8395,-4.058438896863635,-3.038194339598478,5734,-3.8074450182214785,-4.675243213163045,2661
1620,1.1236428520060144,-3.6696323854410755,-2.408494312893297,8394,-3.661940158680373,-2.452382359966951,6041,-3.508752664581445,-2.459203990789571,2353
1621,1.1456796169950394,-3.478563072739727,-2.4641323656658987,8381,-3.3825077391545246,-2.2774896534105733,5790,-3.406506511538624,-3.308911522295348,2591
1622,1.155130269995425,-3.440602146020146,-2.5642936909992917,8305,-3.378947285326143,-2.02160133979229,5789,-3.285432671413484,-4.643349030266896,2516
1623,1.1516981339955237,-3.574418455274569,-2.5202441409710343,8407,-3.5542436672964364,-2.1434879522215313,5925,-3.467065673025021,-4.168133656537801,2482
1624,1.1404839660099242,-3.639517034783839,-2.695144345332654,8423,-3.6889581970889997,-2.821383217614304,6131,-3.3720616211467296,-2.4608153458159454,2292
1625,1.16152128399699,-3.290534875793088,-2.5219025255727177,8366,-2.9409015206389033,-1.8542628032110626,5640,-3.7911180798803437,-4.797657853540701,2726
1626,1.1710867170040729,-3.5870313017687625,-2.942191336798243,8291,-3.4606376829623917,-2.4741892215724315,5842,-3.857642414569538,-3.6026300797354445,2449
1627,1.1210510300006717,-3.984432725052077,-3.582448205532026,8325,-4.0241133803993145,-3.4387805675823735,5982,-3.6118089357629315,-3.40893657602514,2343
1628,1.1556194669974502,-3.7524984073990635,-2.9411463511868328,8388,-3.997529126701361,-3.011767387047114,5922,-2.96277346840803,-2.8535383097686715,2466
1629,1.2145343020092696,-3.567930827557901,-3.0327652719004248,8334,-3.6431978638738354,-3.0498704587892886,5931,-2.7707750801095052,-3.161407961374602,2403
1630,1.1353759189951234,-3.9141846136531977,-2.763660386843525,8345,-3.8968676357048158,-2.515901453855853,5983,-3.715439643107259,-3.7718676104458826,2362
1631,1.164722322995658,-3.2396708829456595,-2.053241399486573,8382,-3.24003886836544,-2.1087761640966933,5966,-3.0347981041795116,-2.0457849376891755,2416
1632,1.1564979719987605,-3.5190941311947723,-2.5640552349011623,8334,-3.4250726224796297,-2.6316291387148385,5862,-3.4947910167753493,-2.493202903141544,2472
1633,1.123977612995077,-3.49768456040573,-1.862972277821159,8402,-3.4554283498737206,-1.852202690183838,5672,-2.9605881464339086,-2.1024762371711843,2730
1634,1.1425483299972257,-3.61997614331383,-2.7884468672222407,8296,-3.9245562208853726,-2.8379769791888743,5553,-2.2998425688531627,-2.748906578526482,2743
1635,1.1318198560038581,-3.174211756758047,-2.4035240740872608,8416,-2.7891152769396754,-2.0831284806995365,5929,-3.5187608674074307,-3.571510092561523,2487
1636,1.1337885609973455,-3.3553198406960147,-2.0535310896563974,8316,-3.4902140440054388,-2.0973645500792095,5619,-2.976839653180356,-2.134156526259935,2697
1637,1.1505068050028058,-3.760954525088805,-3.5317425795893,8371,-3.5716867271175325,-3.622928511638227,5912,-3.698836890611648,-3.4769715726304184,2459
