k,thr,stop,period,is_current,n_entry_signal_bars,n_entry_signals_discarded,n_total_in_period,n_excluded_gap,n,mean_net_bps,ci_lo,ci_hi,se_cluster,sharpe,sharpe_ci_lo,sharpe_ci_hi,win_rate,max_dd_bps,mean_hold_min,stop_rate,mean_funding_bps,mean_gross_bps,sd_net_bps,n_days,deferred_minutes,trades_with_deferral,mean_cost_bps,sum_pnl_jpy_001btc
60,0.8,0.25,full,False,541323,1856,35181,505,34676,-5.768613378656837,-6.461099262721046,-5.065992947899593,0.35964725172309914,-5.794951526301582,-6.612781868237244,-5.009141596695551,0.19947514130810937,200032.43751830535,23.46836428653824,0.7679951551505364,0.0972430499480909,-1.8570669595173213,74.63857047916548,2314,52,44,3.8143033691914248,-508293.3230345524
60,0.8,0.25,train,False,541323,1856,28848,353,28495,-5.56528973055474,-6.342258098812977,-4.757229474048458,0.40943807965372825,-5.9593862260819135,-6.907247925805855,-4.972174109003195,0.1971223021582734,158761.65624489484,22.496788910335148,0.7793998947183717,0.09580628180382524,-1.6551800795594906,77.27740466086173,1598,16,13,3.8143033691914248,-346296.00171373395
60,0.8,0.25,val,False,541323,1856,6333,152,6181,-6.7059548044243895,-8.148238301852453,-5.217195010078267,0.7539287068989063,-5.8707026591109654,-7.440946399793811,-4.282440439424477,0.2103219543763145,41489.95968218504,27.947419511405922,0.7154182171169714,0.10386668823814917,-2.787784746994816,61.01158999417885,716,36,31,3.8143033691914248,-161997.32132081848
60,0.8,0.5,full,False,541323,1856,24048,605,23443,-6.241210769711298,-7.349796526925909,-5.152414152146318,0.5678736684424802,-4.218784009699118,-5.047297303013031,-3.408958745531847,0.2729172887429083,146313.1204860209,39.933412959092266,0.4915326536706053,0.16550782749648082,-2.2613995730233927,94.5054715732025,2314,57,47,3.8143033691914248,-384028.00408986
60,0.8,0.5,train,False,541323,1856,19453,427,19026,-5.945115841770898,-7.182704409458262,-4.676915695603833,0.6528268706851331,-4.234277526607913,-5.20411908408442,-3.3208391702474755,0.27005150846210446,113315.8762074484,38.7093451066961,0.5096709765583938,0.16451172080311152,-1.9663007517763633,98.290216202521,1598,13,11,3.8143033691914248,-254207.1183416979
60,0.8,0.5,val,False,541323,1856,4595,178,4417,-7.516624421283411,-9.640200519807573,-5.289401661531983,1.125738273684793,-4.605708874098075,-6.229858697548483,-3.1473283608735625,0.28526148969889065,33267.84581218162,45.206022187004756,0.41340276205569393,0.1697985057731492,-3.5325225463188383,76.07684147433007,716,44,36,3.8143033691914248,-129820.8857481621
60,0.8,1.0,full,False,541323,1856,19905,674,19231,-6.088717672461834,-7.442060963783682,-4.78933256311113,0.6754233575886283,-3.449444980217826,-4.329182658673652,-2.6690316807315564,0.3143362279652644,117092.1295591139,52.204565545213455,0.1763298840413915,0.2154854141750299,-2.058928889095381,107.5385852206441,2314,55,45,3.8143033691914248,-330689.3199805011
60,0.8,1.0,train,False,541323,1856,15882,485,15397,-5.535097288418183,-7.029829327019355,-3.9964366665447844,0.7809222513592738,-3.2803654498839845,-4.27785805337007,-2.3008309433487213,0.31538611417808665,85427.99515169035,51.241475612132234,0.18984217704747677,0.21705527050724166,-1.5037386487195172,112.59493121279253,1598,12,10,3.8143033691914248,-209287.3567643389
60,0.8,1.0,val,False,541323,1856,4023,189,3834,-8.312007462008031,-10.804484609075677,-5.618884306805998,1.3266462058711708,-4.330660428903219,-5.82211903845691,-2.87805401834445,0.31011997913406364,32059.30484009681,56.07224830464267,0.12206572769953052,0.20918101199791342,-4.2885230808186945,84.20521934525512,716,43,35,3.8143033691914248,-121401.9632161622
60,1.2,0.25,full,False,294733,996,22750,256,22494,-6.7441519796316625,-7.714992194524463,-5.746369231581131,0.5036108954582494,-4.6422916913348935,-5.4212356003469075,-3.9215679972035935,0.18684982662043212,151702.9546298351,20.270605494798613,0.8317329065528586,0.08108829021072286,-2.4043150863209686,81.00696413307436,2314,18,16,4.2587486030999715,-380855.92724546476
