code,name,market,perk_flag,kenri_month
4754,トスネット,standard,1,3月
4755,楽天グループ,prime,1,6月・12月
4762,エックスネット,standard,1,3月・9月
4763,クリーク・アンド・リバー社,prime,1,2月
4765,ＳＢＩグローバルアセットマネジメント,prime,1,3月
4766,ピーエイ,standard,1,12月
4767,テー・オー・ダブリュー,standard,1,6月
3640,電算,standard,0,
8604,野村ホールディングス,prime,0,
6977,日本抵抗器製作所,standard,0,
9028,ゼロ,standard,0,
5943,ノーリツ,prime,0,
7847,グラファイトデザイン,standard,0,
9514,エフオン,standard,0,
9743,丹青社,prime,0,
1852,淺沼組,prime,0,
6459,だいわ,prime,0,
6787,メイコー,prime,0,
3156,レスター,prime,0,
5857,ＡＲＥホールディングス,prime,0,
6055,ジャパンマテリアル,prime,0,
4569,杏林製薬,prime,0,
7247,ミクニ,standard,0,
6098,リクルートホールディングス,prime,0,
6268,ナブテスコ,prime,0,
6165,パンチ工業,standard,0,
6929,日本セラミック,prime,0,
4512,わかもと製薬,standard,0,
4914,高砂香料工業,prime,0,
6626,ＳＥＭＩＴＥＣ,standard,0,
3947,ダイナパック,standard,0,
4231,タイガースポリマー,standard,0,
2345,ＨＯＤＬ１,standard,0,
4627,ナトコ,standard,0,
5233,太平洋セメント,prime,0,
8871,ゴールドクレスト,standard,0,
5133,テリロジーホールディングス,standard,0,
3386,コスモ・バイオ,standard,0,
6149,小田原エンジニアリング,standard,0,
6125,岡本工作機械製作所,standard,0,
6496,中北製作所,standard,0,
7544,スリーエフ,standard,0,
1407,ウエストホールディングス,standard,0,
5101,横浜ゴム,prime,0,
7898,ウッドワン,standard,0,
4202,ダイセル,prime,0,
1939,四電工,prime,0,
1811,錢高組,standard,0,
2270,雪印メグミルク,prime,0,
7991,マミヤ・オーピー,standard,0,
255A,ジーエルテクノホールディングス,standard,0,
5423,東京製鐵,prime,0,
1787,ナカボーテック,standard,0,
6391,加地テック,standard,0,
7368,表示灯,standard,0,
7673,ダイコー通産,standard,0,
4736,日本ラッド,standard,0,
6741,日本信号,prime,0,
9502,中部電力,prime,0,
6677,エスケーエレクトロニクス,standard,0,
8144,デンキョーグループホールディングス,standard,0,
7399,ナンシン,standard,0,
5464,モリ工業,standard,0,
2146,ＵＴグループ,prime,0,
6022,赤阪鐵工所,standard,0,
