series,variable,state,n,mean,ci_lo,ci_hi,cost_mean,net_mean,net_ci_lo,net_ci_hi
1321T,直前リターン三分位,3_上位,1214,10.119880308588534,4.898720577252523,14.957600561395763,4.822196312334324,5.297683996254213,0.489211094277008,10.175977985890354
1321T,SQまでの日数,1_0-2日,523,8.355393886566969,-3.172784459066225,18.34056348299405,4.754380205564499,3.601013681002472,-6.994274175278682,14.113774451149686
1321T,SQまでの日数,2_3-9日,803,4.328365726450036,-4.0971942966875305,12.790810987101802,4.772763109520992,-0.4443973830709543,-9.294285057337563,7.827956029581197
1321T,SQまでの日数,3_10日以上,2319,6.666095113370281,3.2596148994515755,10.204120979801488,4.786198149721773,1.8798969636485063,-1.3900177004732641,5.10661931257964
1321T,曜日,1_月,674,10.530543912980747,2.895971909008269,18.07017100384778,4.7710605028911415,5.759483410089605,-1.8816937087460137,13.201363795344092
1321T,曜日,2_火,745,4.473055768407144,-2.000616162756542,11.04980287455559,4.774179967223334,-0.3011241988161898,-6.3994117486273385,6.505487951169668
1321T,曜日,3_水,748,5.388134887424484,-0.683942353908825,11.477950495600222,4.773878767725205,0.6142561196992804,-5.002802091987243,6.340281461909558
1321T,曜日,4_木,745,3.9472501818283807,-4.165147474459436,12.453610610775906,4.772431522209804,-0.8251813403814241,-8.582704553774736,7.005150358645097
1321T,曜日,5_金,733,8.053456784244995,-1.4285243365193177,18.12287189745743,4.801475411767547,3.251981372477449,-6.255102887230576,12.665408749219898
1321T,月,01,284,3.417169667959858,-7.243817455485804,14.425277951837009,4.798143622395499,-1.380973954435641,-12.027843616467077,8.624680824354476
1321T,月,02,283,6.696910738327928,-4.952589649758174,18.017821539313587,4.878605664946378,1.8183050733815478,-9.733241110857374,12.511754996789382
1321T,月,03,315,2.620490135626451,-10.318508213923257,14.550391637028376,5.220068143915256,-2.5995780082888027,-14.897934126567769,8.52537578357702
1321T,月,04,307,5.537668284697381,-7.749052284433982,19.13154203792848,4.993136300507639,0.5445319841897401,-12.92274129394679,14.43338651050728
1321T,月,05,292,12.78287651428426,1.7119938066290281,22.649608797389885,4.815018597601489,7.967857916682771,-3.049207107368924,17.859597671452637
1321T,月,06,320,10.049849355585224,2.4454626001875157,18.30506980698005,4.805714872402084,5.244134483183139,-2.0920271620385265,12.846705222222365
1321T,月,07,315,-4.936894596541045,-12.28303552536198,2.1591319343158,4.679120470136184,-9.616015066677228,-17.16839156312898,-2.577853437216378
1321T,月,08,320,-3.343891441916037,-12.44119248548129,5.013835307637016,4.723910797452021,-8.067802239368056,-17.372082616955097,0.7665833925126841
1321T,月,09,291,7.37545489910581,-1.6251337477276797,16.745284586614734,4.794552033907226,2.580902865198584,-6.475408588842418,12.259959882232675
1321T,月,10,314,10.066366414129494,0.7297203570795119,18.648795209390258,4.595547387262683,5.470819026866811,-3.095860944930955,14.215901544903375
1321T,月,11,293,19.678128203918018,8.992672280150432,30.50709765604398,4.543571274501397,15.134556929416624,4.454640216647233,25.850855852418366
1321T,月,12,311,8.092701280027676,0.8157548123963935,16.260022016295313,4.497939338549339,3.5947619414783367,-3.991561210868962,11.561451484949032
1321T,泊数,1_1泊,2837,5.777069441748149,2.887840997295181,8.787226645218546,4.770631892384399,1.006437549363751,-1.993401248880652,3.9576394712372878
1321T,泊数,2_2-3泊,685,8.375016647159155,-0.9698575048474363,17.148002261809943,4.802056474087232,3.57296017307192,-5.335445107106721,12.421066814152887
1321T,泊数,3_4泊以上,123,9.575535279480194,-19.610672879661962,38.79282128332436,4.833916831025116,4.741618448455078,-21.529543538455588,32.588023093177576
1321T,制度区分,2011-09-05..2024-11-04,3200,5.558633950902767,2.085238373743534,8.850450504382675,4.865614620698142,0.6930193302046247,-2.6351456698273,3.786558563849007
1321T,制度区分,2024-11-05..2026-09-03,445,12.396841811305016,1.7083155578172189,23.19994399669649,4.153474938036695,8.24336687326832,-3.30981769964118,18.97509021257831
