cascade_id,exchange,kind,start_ms,start_utc,end_ms,end_utc,n_events,total_size,direction,first_price,last_price,anchor_ts_ms,anchor_price,bp_1m,bp_5m,bp_15m,bp_60m,group,internal_bp
binance_cm_no_liq_002547,binance_cm,no_liquidation,1724210122599,2024-08-21T03:15:22.599Z,1724210122600,2024-08-21T03:15:22.600Z,0,0.0,none,,,1724210100000,59387.5,-3.8560303094087907,-15.003157230056585,-15.339928436118466,-26.520732477373187,noliq_long,0.0
binance_cm_no_liq_002548,binance_cm,no_liquidation,1723827082052,2024-08-16T16:51:22.052Z,1723827082053,2024-08-16T16:51:22.053Z,0,0.0,none,,,1723827060000,58445.9,-11.857119147793584,5.115842171991782,1.659654483889732,65.39380863328259,noliq_long,0.0
binance_cm_no_liq_002549,binance_cm,no_liquidation,1728044496129,2024-10-04T12:21:36.129Z,1728044543142,2024-10-04T12:22:23.142Z,0,0.0,none,,,1728044520000,61430.8,3.7928856534500013,8.985720518045847,1.0092657103598015,16.01802353216858,noliq_long,-4.002902918213622
binance_cm_no_liq_002550,binance_cm,no_liquidation,1727935129689,2024-10-03T05:58:49.689Z,1727935129690,2024-10-03T05:58:49.690Z,0,0.0,none,,,1727935080000,61154.0,-2.30565457696938,-5.821369002845038,11.659090165811378,25.983582431239405,noliq_long,0.0
binance_cm_no_liq_002551,binance_cm,no_liquidation,1722254769024,2024-07-29T12:06:09.024Z,1722254769025,2024-07-29T12:06:09.025Z,0,0.0,none,,,1722254760000,69503.9,-6.647109011148596,-11.423819382796387,0.8057101831704151,61.21958623904558,noliq_long,0.0
binance_cm_no_liq_002552,binance_cm,no_liquidation,1721221994002,2024-07-17T13:13:14.002Z,1721221995007,2024-07-17T13:13:15.007Z,0,0.0,none,,,1721221980000,64800.1,-1.1882697711881756,-17.65429374337408,-23.580210524365803,0.7253075226742499,noliq_long,0.0
binance_cm_no_liq_002553,binance_cm,no_liquidation,1724501304743,2024-08-24T12:08:24.743Z,1724501318773,2024-08-24T12:08:38.773Z,0,0.0,none,,,1724501280000,64136.9,-0.21828307885187082,-4.6151279528631015,1.122598691236572,-4.942552571141475,noliq_long,0.0
binance_cm_no_liq_002554,binance_cm,no_liquidation,1719473379601,2024-06-27T07:29:39.601Z,1719473379602,2024-06-27T07:29:39.602Z,0,0.0,none,,,1719473340000,60764.5,12.408560919616132,2.567288466127187,3.9825885179664264,-1.3001012104109233,noliq_long,0.0
binance_cm_no_liq_002555,binance_cm,no_liquidation,1725363136389,2024-09-03T11:32:16.389Z,1725363177293,2024-09-03T11:32:57.293Z,0,0.0,none,,,1725363120000,59052.6,-3.573085689706896,-9.991092686858835,-10.753125179924337,30.024080226781365,noliq_long,0.0
binance_cm_no_liq_002556,binance_cm,no_liquidation,1721595492784,2024-07-21T20:58:12.784Z,1721595496814,2024-07-21T20:58:16.814Z,0,0.0,none,,,1721595480000,67738.0,-0.8857657444861082,-1.4172251911786324,-19.57542295314385,64.76423868434219,noliq_long,0.0
binance_cm_no_liq_002557,binance_cm,no_liquidation,1726122022732,2024-09-12T06:20:22.732Z,1726122022733,2024-09-12T06:20:22.733Z,0,0.0,none,,,1726122000000,57978.0,-7.968539790954688,-12.452999413570163,-10.710959329400557,-10.50398426989573,noliq_long,0.0
binance_cm_no_liq_002558,binance_cm,no_liquidation,1722014213138,2024-07-26T17:16:53.138Z,1722014294171,2024-07-26T17:18:14.171Z,0,0.0,none,,,1722014280000,67355.9,6.517617610336843,6.443385063522087,20.161559714888067,31.4745998494564,noliq_long,-0.13361679889910613
binance_cm_no_liq_002559,binance_cm,no_liquidation,1724890293653,2024-08-29T00:11:33.653Z,1724890293654,2024-08-29T00:11:33.654Z,0,0.0,none,,,1724890260000,59123.8,-6.73163768228749,8.135471671306401,-8.321521959008786,13.564757339683357,noliq_long,0.0
binance_cm_no_liq_002560,binance_cm,no_liquidation,1723754166092,2024-08-15T20:36:06.092Z,1723754166093,2024-08-15T20:36:06.093Z,0,0.0,none,,,1723754160000,56794.0,-2.641124062400958,-2.1481142374189335,-15.969996830650613,37.43353171109599,noliq_long,0.0
binance_cm_no_liq_002561,binance_cm,no_liquidation,1726732724841,2024-09-19T07:58:44.841Z,1726732724842,2024-09-19T07:58:44.842Z,0,0.0,none,,,1726732680000,62065.4,2.4973656820064,7.202080386172825,11.665114540468837,-24.006934620577645,noliq_long,0.0
binance_cm_no_liq_002562,binance_cm,no_liquidation,1720215969581,2024-07-05T21:46:09.581Z,1720215969582,2024-07-05T21:46:09.582Z,0,0.0,none,,,1720215960000,56656.4,0.22945333625073855,5.771633919556677,-29.299426013654237,-6.777698547737141,noliq_long,0.0
binance_cm_no_liq_002563,binance_cm,no_liquidation,1724284538526,2024-08-21T23:55:38.526Z,1724284588460,2024-08-21T23:56:28.460Z,0,0.0,none,,,1724284560000,61149.0,0.9648563345273766,2.992689986754143,-6.426924397782941,-37.416801583019,noliq_long,-4.429834526881993
binance_cm_no_liq_002564,binance_cm,no_liquidation,1721880525325,2024-07-25T04:08:45.325Z,1721880577310,2024-07-25T04:09:37.310Z,0,0.0,none,,,1721880540000,63971.9,5.174146773817651,19.00834585185035,24.323179395953307,39.12655400261609,noliq_long,15.875873838470257
binance_cm_no_liq_002565,binance_cm,no_liquidation,1720331094512,2024-07-07T05:44:54.512Z,1720331100555,2024-07-07T05:45:00.555Z,0,0.0,none,,,1720331100000,57676.4,-1.4564015784621533,11.651212627694706,-13.003585521981261,8.426323418243605,noliq_long,-1.6815142642676641
binance_cm_no_liq_002566,binance_cm,no_liquidation,1718536763672,2024-06-16T11:19:23.672Z,1718536763673,2024-06-16T11:19:23.673Z,0,0.0,none,,,1718536740000,66564.5,3.530410353867302,-3.6355715133437627,-2.073177143973576,-7.781925801290915,noliq_long,0.0
binance_cm_no_liq_002567,binance_cm,no_liquidation,1726296794956,2024-09-14T06:53:14.956Z,1726296842007,2024-09-14T06:54:02.007Z,0,0.0,none,,,1726296840000,60079.1,-0.6824336582935738,-5.0267064586515255,-13.781830952859753,9.021440068177514,noliq_long,-0.13315601390863008
binance_cm_no_liq_002568,binance_cm,no_liquidation,1723102684687,2024-08-08T07:38:04.687Z,1723102726697,2024-08-08T07:38:46.697Z,0,0.0,none,,,1723102680000,57259.7,9.518037991816234,15.141539337440532,-14.809717829467433,7.038108826976549,noliq_long,0.0
binance_cm_no_liq_002569,binance_cm,no_liquidation,1725854079085,2024-09-09T03:54:39.085Z,1725854079086,2024-09-09T03:54:39.086Z,0,0.0,none,,,1725854040000,55133.7,-9.01445032711338,-8.343354427509853,-12.82337300054179,-50.314054743286626,noliq_long,0.0
binance_cm_no_liq_002570,binance_cm,no_liquidation,1727002445072,2024-09-22T10:54:05.072Z,1727002445073,2024-09-22T10:54:05.073Z,0,0.0,none,,,1727002440000,62651.4,-5.075704613145582,-1.0694094625186932,-12.178498804496453,23.654698857487155,noliq_long,0.0
binance_cm_no_liq_002571,binance_cm,no_liquidation,1726990758041,2024-09-22T07:39:18.041Z,1726990763018,2024-09-22T07:39:23.018Z,0,0.0,none,,,1726990740000,62904.2,2.352784074831714,2.6866250584224036,4.45121311454561,8.218847072215269,noliq_long,0.0
binance_cm_no_liq_002572,binance_cm,no_liquidation,1718634174566,2024-06-17T14:22:54.566Z,1718634174567,2024-06-17T14:22:54.567Z,0,0.0,none,,,1718634120000,65366.0,4.252975553040252,5.385062570754994,43.58535018205094,-22.33577089006517,noliq_long,0.0
binance_cm_no_liq_002573,binance_cm,no_liquidation,1723184247729,2024-08-09T06:17:27.729Z,1723184247730,2024-08-09T06:17:27.730Z,0,0.0,none,,,1723184220000,60868.6,-1.7743138498331874,-1.511452538746922,-20.207463289775024,44.554992229163204,noliq_long,0.0
binance_cm_no_liq_002574,binance_cm,no_liquidation,1727089246396,2024-09-23T11:00:46.396Z,1727089284317,2024-09-23T11:01:24.317Z,0,0.0,none,,,1727089260000,63458.1,2.1904217113341646,-5.310590767765989,-11.361827725695939,-13.174047127159268,noliq_long,2.7584858907387386
binance_cm_no_liq_002575,binance_cm,no_liquidation,1721364603990,2024-07-19T04:50:03.990Z,1721364603991,2024-07-19T04:50:03.991Z,0,0.0,none,,,1721364600000,64193.2,-1.4487515811636802,-7.477427515687021,-7.664363203578742,4.019117289682226,noliq_long,0.0
