t_send,t_recv,rtt_ms,endpoint,http_status,ws_lag_ms,ws_note
1789419293.3664353,1789419293.4092598,42.824506759643555,private:getpermissions,200,34613.247871398926,unchanged
1789419323.334149,1789419323.349426,15.27714729309082,public:getticker,200,3929.347276687622,ok
1789419323.3494444,1789419323.3862636,36.8192195892334,private:getpermissions,200,3929.347276687622,ok
1789419353.3348343,1789419353.3507433,15.908956527709961,public:getticker,200,33931.347608566284,unchanged
1789419353.350779,1789419353.3882616,37.482500076293945,private:getpermissions,200,33931.347608566284,unchanged
1789419383.335289,1789419383.3520157,16.72673225402832,public:getticker,200,3972.412109375,ok
1789419383.3520317,1789419383.387836,35.80427169799805,private:getpermissions,200,3972.412109375,ok
1789419413.3355849,1789419413.61033,274.74522590637207,public:getticker,200,34239.08281326294,unchanged
1789419413.610349,1789419413.654507,44.157981872558594,private:getpermissions,200,34239.08281326294,unchanged
1789419443.3358386,1789419443.351615,15.776395797729492,public:getticker,200,4038.583517074585,ok
1789419443.3516319,1789419443.4081256,56.49375915527344,private:getpermissions,200,4038.583517074585,ok
1789419473.3361304,1789419473.4026084,66.47801399230957,public:getticker,200,34077.57878303528,unchanged
1789419473.4026268,1789419473.447121,44.4941520690918,private:getpermissions,200,34077.57878303528,unchanged
1789419503.3364015,1789419503.35151,15.108585357666016,public:getticker,200,3261.3039016723633,ok
1789419503.3515277,1789419503.4061224,54.59475517272949,private:getpermissions,200,3261.3039016723633,ok
1789419533.3366632,1789419533.3707824,34.1191291809082,public:getticker,200,33269.779443740845,unchanged
1789419533.370799,1789419533.414598,43.79892349243164,private:getpermissions,200,33269.779443740845,unchanged
1789419563.3369315,1789419563.3752348,38.303375244140625,public:getticker,200,2964.139938354492,ok
1789419563.3752518,1789419563.4246879,49.436092376708984,private:getpermissions,200,2964.139938354492,ok
1789419593.337214,1789419593.4920018,154.78777885437012,public:getticker,200,33090.31653404236,unchanged
1789419593.492019,1789419593.5508642,58.84528160095215,private:getpermissions,200,33090.31653404236,unchanged
1789419623.3375106,1789419623.3585222,21.0115909576416,public:getticker,200,1214.1602039337158,ok
1789419623.3585384,1789419623.404076,45.537710189819336,private:getpermissions,200,1214.1602039337158,ok
1789419653.3384528,1789419653.3541257,15.672922134399414,public:getticker,200,31224.61247444153,unchanged
1789419653.3542073,1789419653.4145272,60.31990051269531,private:getpermissions,200,31224.61247444153,unchanged
1789419683.3394606,1789419685.1518123,1812.3517036437988,public:getticker,200,5497.658729553223,ok
1789419685.151828,1789419687.540647,2388.8189792633057,private:getpermissions,200,5497.658729553223,ok
1789419713.3399155,1789419713.3572605,17.344951629638672,public:getticker,200,31359.566688537598,unchanged
1789419713.3572848,1789419713.402555,45.27020454406738,private:getpermissions,200,31359.566688537598,unchanged
1789419743.3409421,1789419743.3788605,37.9183292388916,public:getticker,200,1420.8519458770752,ok
1789419743.3788774,1789419743.4280145,49.137115478515625,private:getpermissions,200,1420.8519458770752,ok
1789419773.341277,1789419773.356058,14.780998229980469,public:getticker,200,31403.013706207275,unchanged
1789419773.3560736,1789419773.4101763,54.10265922546387,private:getpermissions,200,31403.013706207275,unchanged
1789419803.3414848,1789419803.375424,33.93912315368652,public:getticker,200,1158.3952903747559,ok
1789419803.3754435,1789419803.4170647,41.62120819091797,private:getpermissions,200,1158.3952903747559,ok
1789419833.3415382,1789419833.35671,15.17176628112793,public:getticker,200,31133.79454612732,unchanged
1789419833.3567266,1789419833.3924747,35.74800491333008,private:getpermissions,200,31133.79454612732,unchanged
1789419863.3420362,1789419863.3790994,37.0631217956543,public:getticker,200,782.8066349029541,ok
1789419863.379118,1789419863.4215748,42.456865310668945,private:getpermissions,200,782.8066349029541,ok
1789419893.3420682,1789419893.3666286,24.56045150756836,public:getticker,200,30772.900819778442,unchanged
1789419893.3666477,1789419893.4116685,45.02081871032715,private:getpermissions,200,30772.900819778442,unchanged
1789419923.342402,1789419923.3580062,15.604257583618164,public:getticker,200,629.9033164978027,ok
1789419923.358023,1789419923.4170046,58.98165702819824,private:getpermissions,200,629.9033164978027,ok
1789419953.342464,1789419953.3592465,16.782522201538086,public:getticker,200,30610.3835105896,unchanged
