属性,群,下限,上限,m の群,T(秒),h(秒),群のプリント数,属性が欠測で群に入らないプリントの割合,m 平均,m 中央値,n,含む日数,r 平均(bp),r 日クラスタ SE,r naive SE,日クラスタ/naive,r 日等重み平均,r 中央値,r p25,r p75,r < 0 の割合,r < 0 の母数,同じ側の次の清算 60 秒以内の割合,同じ側の次の清算 60 秒以内の母数,同じ側の次の清算 120 秒以内の割合,同じ側の次の清算 120 秒以内の母数,同じ側の次の清算が無い(この期間の最後)
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,,,Q2(中位 3 分位),60,900,4247,0.000000,18.765145,18.473109,4247,401,-1.463310,2.364310,0.917058,2.578147,-7.671743,-7.783461,-28.882718,20.127622,0.585119,4247,0.572875,4247,0.648222,4247,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,,,Q3(上位 3 分位),60,60,4930,0.000000,63.164438,40.899468,4930,305,4.219969,6.854476,1.083467,6.326428,-5.347251,-3.744269,-19.619181,12.847734,0.567748,4930,0.744625,4930,0.791886,4930,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,,,Q3(上位 3 分位),60,300,4930,0.000000,63.164438,40.899468,4930,305,-9.116992,5.768619,1.531829,3.765837,-13.061847,-12.059175,-38.844453,14.937104,0.625152,4930,0.744625,4930,0.791886,4930,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,,,Q3(上位 3 分位),60,900,4930,0.000000,63.164438,40.899468,4930,305,-10.241391,7.289795,1.725826,4.223945,-17.895915,-14.663551,-53.170850,26.818950,0.600203,4930,0.744625,4930,0.791886,4930,0
bin_pct,Q1(下位 3 分位),,6.666700,Q1(下位 3 分位),60,60,4541,0.000000,7.939625,8.708889,4541,442,-0.754309,0.274308,0.209220,1.311100,-0.707209,-0.922850,-6.894503,4.598538,0.547897,4541,0.575864,4541,0.659987,4541,0
bin_pct,Q1(下位 3 分位),,6.666700,Q1(下位 3 分位),60,300,4541,0.000000,7.939625,8.708889,4541,442,-1.982224,0.680045,0.406162,1.674321,-1.737141,-3.303932,-15.237996,8.959231,0.579828,4541,0.575864,4541,0.659987,4541,0
bin_pct,Q1(下位 3 分位),,6.666700,Q1(下位 3 分位),60,900,4541,0.000000,7.939625,8.708889,4541,442,-2.542470,1.215607,0.657628,1.848472,-3.635108,-5.933895,-24.502804,15.018617,0.588857,4541,0.575864,4541,0.659987,4541,0
bin_pct,Q1(下位 3 分位),,6.666700,Q2(中位 3 分位),60,60,6312,0.000000,18.864371,18.602031,6312,426,-0.994031,0.323305,0.210990,1.532325,-0.762109,-1.558888,-9.865882,7.006446,0.553866,6312,0.721008,6312,0.781052,6312,0
bin_pct,Q1(下位 3 分位),,6.666700,Q2(中位 3 分位),60,300,6312,0.000000,18.864371,18.602031,6312,426,-2.823958,0.823054,0.424363,1.939505,-2.225387,-5.182376,-21.044693,12.998577,0.582066,6312,0.721008,6312,0.781052,6312,0
bin_pct,Q1(下位 3 分位),,6.666700,Q2(中位 3 分位),60,900,6312,0.000000,18.864371,18.602031,6312,426,-3.028887,1.537686,0.692716,2.219793,-4.640187,-8.402660,-32.622495,20.617532,0.586660,6312,0.721008,6312,0.781052,6312,0
